100nm,200nm,400nm,800nm
0.01458081,0.014426793,0.00629124,0.002575173
0.01460471,0.014386308,0.006274681,0.002570786
0.014628447,0.014345073,0.006258223,0.002566418
0.014651993,0.014303097,0.006241863,0.002562067
0.014675324,0.01426039,0.006225596,0.002557734
0.014698414,0.014216963,0.006209422,0.00255342
0.01472124,0.014172826,0.006193335,0.002549123
0.014743777,0.014127992,0.006177332,0.002544844
0.014766003,0.014082472,0.006161412,0.002540583
0.014787895,0.01403628,0.006145571,0.002536339
0.014809431,0.013989429,0.006129806,0.002532113
0.01483059,0.013941933,0.006114113,0.002527905
0.01485135,0.013893806,0.006098491,0.002523715
0.014871691,0.013845064,0.006082937,0.002519542
0.014891594,0.013795721,0.006067447,0.002515387
0.014911037,0.013745792,0.00605202,0.002511249
0.014930004,0.013695295,0.006036652,0.002507129
0.014948473,0.013644245,0.006021342,0.002503026
0.014966428,0.013592658,0.006006086,0.00249894
0.01498385,0.013540553,0.005990882,0.002494872
0.015000722,0.013487945,0.005975728,0.002490821
0.015017026,0.013434853,0.005960622,0.002486786
0.015032747,0.013381294,0.005945561,0.002482769
0.015047867,0.013327286,0.005930544,0.002478768
0.015062371,0.013272847,0.005915568,0.002474784
0.015076244,0.013217994,0.005900631,0.002470817
0.015089469,0.013162747,0.005885732,0.002466867
0.015102034,0.013107123,0.005870868,0.002462933
0.015113923,0.013051141,0.005856037,0.002459015
0.015125122,0.01299482,0.005841239,0.002455113
0.015135619,0.012938177,0.005826471,0.002451228
0.0151454,0.012881231,0.005811731,0.002447359
0.015154452,0.012824001,0.005797019,0.002443505
0.015162765,0.012766505,0.005782332,0.002439668
0.015170325,0.012708761,0.005767669,0.002435846
0.015177121,0.012650788,0.005753029,0.00243204
0.015183144,0.012592604,0.00573841,0.002428249
0.015188382,0.012534227,0.005723812,0.002424473
0.015192825,0.012475674,0.005709233,0.002420713
0.015196465,0.012416964,0.005694672,0.002416968
0.015199292,0.012358115,0.005680127,0.002413237
0.015201297,0.012299143,0.005665599,0.002409522
0.015202473,0.012240066,0.005651086,0.002405821
0.015202813,0.012180901,0.005636587,0.002402135
0.015202308,0.012121664,0.005622101,0.002398462
0.015200952,0.012062374,0.005607628,0.002394805
0.01519874,0.012003045,0.005593167,0.002391161
0.015195665,0.011943694,0.005578717,0.002387531
0.015191723,0.011884337,0.005564279,0.002383915
0.015186908,0.01182499,0.00554985,0.002380313
0.015181217,0.011765668,0.005535431,0.002376724
0.015174646,0.011706386,0.005521022,0.002373149
0.015167192,0.011647158,0.005506621,0.002369586
0.015158852,0.011588,0.00549223,0.002366037
0.015149623,0.011528925,0.005477847,0.002362501
0.015139505,0.011469948,0.005463472,0.002358978
0.015128496,0.011411081,0.005449106,0.002355467
0.015116596,0.011352339,0.005434747,0.002351968
0.015103803,0.011293734,0.005420397,0.002348482
0.015090119,0.011235279,0.005406055,0.002345008
0.015075545,0.011176985,0.005391721,0.002341546
0.01506008,0.011118866,0.005377395,0.002338096
0.015043728,0.011060933,0.005363077,0.002334657
0.015026491,0.011003196,0.005348768,0.00233123
0.01500837,0.010945668,0.005334468,0.002327815
0.01498937,0.010888358,0.005320177,0.00232441
0.014969494,0.010831277,0.005305895,0.002321017
0.014948747,0.010774435,0.005291623,0.002317634
0.014927131,0.010717841,0.00527736,0.002314263
0.014904654,0.010661506,0.005263109,0.002310901
0.01488132,0.010605438,0.005248868,0.002307551
0.014857134,0.010549645,0.005234638,0.00230421
0.014832105,0.010494137,0.00522042,0.00230088
0.014806237,0.010438921,0.005206215,0.00229756
0.014779538,0.010384005,0.005192022,0.00229425
0.014752017,0.010329396,0.005177843,0.002290949
0.01472368,0.010275101,0.005163678,0.002287658
0.014694536,0.010221128,0.005149528,0.002284376
0.014664595,0.010167483,0.005135393,0.002281104
0.014633864,0.010114172,0.005121274,0.00227784
0.014602354,0.010061201,0.005107172,0.002274586
0.014570073,0.010008575,0.005093088,0.00227134
0.014537034,0.009956301,0.005079021,0.002268103
0.014503245,0.009904382,0.005064974,0.002264875
0.014468718,0.009852825,0.005050947,0.002261655
0.014433463,0.009801633,0.00503694,0.002258444
0.014397492,0.00975081,0.005022955,0.00225524
0.014360818,0.009700361,0.005008992,0.002252045
0.01432345,0.00965029,0.004995051,0.002248857
0.014285403,0.009600599,0.004981135,0.002245677
0.014246688,0.009551293,0.004967244,0.002242505
0.014207318,0.009502374,0.004953378,0.00223934
0.014167306,0.009453844,0.004939538,0.002236183
0.014126665,0.009405707,0.004925726,0.002233033
0.014085408,0.009357965,0.004911942,0.00222989
0.014043548,0.00931062,0.004898187,0.002226754
0.0140011,0.009263673,0.004884462,0.002223625
0.013958078,0.009217126,0.004870768,0.002220502
0.013914494,0.009170981,0.004857106,0.002217387
0.013870364,0.00912524,0.004843476,0.002214278
0.013825701,0.009079902,0.00482988,0.002211175
0.01378052,0.009034969,0.004816318,0.002208079
0.013734835,0.008990441,0.004802792,0.002204989
0.013688661,0.00894632,0.004789301,0.002201905
0.013642012,0.008902605,0.004775848,0.002198828
0.013594903,0.008859296,0.004762432,0.002195756
0.013547349,0.008816394,0.004749056,0.00219269
0.013499364,0.008773898,0.004735719,0.00218963
0.013450963,0.008731808,0.004722422,0.002186576
0.013402162,0.008690123,0.004709167,0.002183527
0.013352974,0.008648843,0.004695953,0.002180484
0.013303415,0.008607966,0.004682783,0.002177446
0.013253499,0.008567493,0.004669657,0.002174414
0.013203242,0.008527421,0.004656575,0.002171386
0.013152657,0.00848775,0.004643538,0.002168365
0.01310176,0.008448478,0.004630548,0.002165348
0.013050565,0.008409604,0.004617604,0.002162336
0.012999086,0.008371125,0.004604709,0.00215933
0.012947339,0.008333042,0.004591861,0.002156328
0.012895337,0.00829535,0.004579063,0.002153331
0.012843096,0.00825805,0.004566315,0.002150339
0.012790628,0.008221138,0.004553617,0.002147352
0.012737949,0.008184612,0.00454097,0.00214437
0.012685072,0.008148471,0.004528376,0.002141392
0.012632011,0.008112712,0.004515833,0.002138419
0.01257878,0.008077331,0.004503344,0.002135451
0.012525392,0.008042328,0.004490909,0.002132487
0.012471861,0.008007699,0.004478528,0.002129528
0.012418201,0.007973442,0.004466203,0.002126573
0.012364424,0.007939553,0.004453932,0.002123623
0.012310543,0.007906031,0.004441718,0.002120677
0.012256571,0.007872871,0.004429561,0.002117735
0.012202522,0.007840071,0.004417461,0.002114798
0.012148406,0.007807629,0.004405418,0.002111865
0.012094238,0.00777554,0.004393433,0.002108936
0.012040028,0.007743802,0.004381507,0.002106012
0.011985789,0.007712411,0.00436964,0.002103092
0.011931533,0.007681365,0.004357833,0.002100176
0.01187727,0.007650659,0.004346085,0.002097264
0.011823013,0.007620291,0.004334397,0.002094357
0.011768773,0.007590256,0.00432277,0.002091454
0.01171456,0.007560552,0.004311204,0.002088555
0.011660386,0.007531175,0.004299699,0.00208566
0.01160626,0.007502121,0.004288256,0.00208277
0.011552193,0.007473387,0.004276875,0.002079883
0.011498196,0.007444969,0.004265555,0.002077001
0.011444277,0.007416863,0.004254298,0.002074123
0.011390448,0.007389065,0.004243103,0.00207125
0.011336717,0.007361573,0.004231971,0.00206838
0.011283093,0.007334381,0.004220902,0.002065515
0.011229586,0.007307487,0.004209896,0.002062654
0.011176204,0.007280886,0.004198954,0.002059797
0.011122956,0.007254574,0.004188074,0.002056945
0.011069851,0.007228548,0.004177258,0.002054096
0.011016896,0.007202803,0.004166506,0.002051252
0.0109641,0.007177337,0.004155817,0.002048413
0.01091147,0.007152144,0.004145192,0.002045577
0.010859014,0.00712722,0.00413463,0.002042746
0.010806739,0.007102563,0.004124132,0.002039919
0.010754652,0.007078168,0.004113698,0.002037097
0.01070276,0.00705403,0.004103327,0.002034279
0.01065107,0.007030147,0.00409302,0.002031466
0.010599588,0.007006513,0.004082777,0.002028657
0.010548321,0.006983126,0.004072597,0.002025852
0.010497274,0.00695998,0.00406248,0.002023053
0.010446454,0.006937072,0.004052427,0.002020257
0.010395865,0.006914398,0.004042436,0.002017466
0.010345515,0.006891954,0.004032509,0.00201468
0.010295406,0.006869736,0.004022644,0.002011899
0.010245546,0.006847739,0.004012842,0.002009122
0.010195938,0.006825961,0.004003102,0.00200635
0.010146588,0.006804397,0.003993425,0.002003583
0.010097499,0.006783042,0.003983809,0.00200082
0.010048677,0.006761894,0.003974255,0.001998062
0.010000125,0.006740948,0.003964762,0.001995309
0.009951847,0.0067202,0.003955331,0.001992562
0.009903847,0.006699647,0.00394596,0.001989819
0.009856128,0.006679283,0.00393665,0.001987081
0.009808694,0.006659107,0.0039274,0.001984348
0.009761549,0.006639113,0.00391821,0.00198162
0.009714695,0.006619298,0.003909079,0.001978897
0.009668134,0.006599658,0.003900007,0.00197618
0.009621871,0.006580189,0.003890994,0.001973467
0.009575907,0.006560888,0.00388204,0.00197076
0.009530245,0.00654175,0.003873143,0.001968058
0.009484887,0.006522773,0.003864304,0.001965362
0.009439835,0.006503952,0.003855522,0.001962671
0.009395091,0.006485284,0.003846797,0.001959985
