100nm,200nm,400nm,800nm
0.015275917,0.018930683,0.011514689,0.005547898
0.015320973,0.018932401,0.01148895,0.005539864
0.015366272,0.018933034,0.011463381,0.005531854
0.015411787,0.018932577,0.01143798,0.005523867
0.015457491,0.018931024,0.011412744,0.005515905
0.015503358,0.018928372,0.011387668,0.005507967
0.015549362,0.018924617,0.011362749,0.005500052
0.015595477,0.018919757,0.011337984,0.005492162
0.015641678,0.018913791,0.011313369,0.005484296
0.015687941,0.01890672,0.011288901,0.005476454
0.01573424,0.018898544,0.011264578,0.005468636
0.015780553,0.018889264,0.011240394,0.005460842
0.015826854,0.018878884,0.011216347,0.005453072
0.015873122,0.018867406,0.011192434,0.005445327
0.015919331,0.018854836,0.011168651,0.005437605
0.01596546,0.018841178,0.011144995,0.005429908
0.016011485,0.018826438,0.011121463,0.005422235
0.016057385,0.018810623,0.011098051,0.005414586
0.016103136,0.01879374,0.011074757,0.005406961
0.016148718,0.018775799,0.011051577,0.00539936
0.016194107,0.018756807,0.011028508,0.005391783
0.016239282,0.018736775,0.011005547,0.00538423
0.016284223,0.018715712,0.010982691,0.005376701
0.016328907,0.01869363,0.010959937,0.005369197
0.016373313,0.01867054,0.010937282,0.005361716
0.016417422,0.018646455,0.010914722,0.005354259
0.016461212,0.018621388,0.010892256,0.005346825
0.016504663,0.01859535,0.01086988,0.005339416
0.016547754,0.018568357,0.010847592,0.00533203
0.016590467,0.018540423,0.010825388,0.005324668
0.01663278,0.018511562,0.010803266,0.00531733
0.016674675,0.01848179,0.010781223,0.005310015
0.016716133,0.018451122,0.010759257,0.005302723
0.016757134,0.018419575,0.010737365,0.005295455
0.01679766,0.018387164,0.010715544,0.005288211
0.016837692,0.018353907,0.010693793,0.005280989
0.016877212,0.018319819,0.010672108,0.005273791
0.016916202,0.01828492,0.010650488,0.005266616
0.016954645,0.018249226,0.01062893,0.005259464
0.016992523,0.018212755,0.010607431,0.005252335
0.017029818,0.018175526,0.01058599,0.005245228
0.017066516,0.018137555,0.010564605,0.005238144
0.017102598,0.018098863,0.010543273,0.005231083
0.017138048,0.018059467,0.010521992,0.005224045
0.017172852,0.018019386,0.010500761,0.005217028
0.017206993,0.017978639,0.010479577,0.005210034
0.017240457,0.017937244,0.010458439,0.005203063
0.017273229,0.017895221,0.010437345,0.005196113
0.017305294,0.017852589,0.010416293,0.005189185
0.017336638,0.017809367,0.010395282,0.005182279
0.017367248,0.017765573,0.010374309,0.005175395
0.017397111,0.017721227,0.010353374,0.005168532
0.017426213,0.017676348,0.010332475,0.005161691
0.017454543,0.017630955,0.010311611,0.005154871
0.017482088,0.017585066,0.010290779,0.005148072
0.017508837,0.0175387,0.01026998,0.005141295
0.017534779,0.017491877,0.010249211,0.005134538
0.017559902,0.017444615,0.010228471,0.005127802
0.017584197,0.017396931,0.01020776,0.005121087
0.017607654,0.017348846,0.010187076,0.005114392
0.017630263,0.017300376,0.010166418,0.005107717
0.017652016,0.017251541,0.010145786,0.005101063
0.017672903,0.017202357,0.010125178,0.005094429
0.017692917,0.017152844,0.010104593,0.005087814
0.01771205,0.017103017,0.010084032,0.00508122
0.017730296,0.017052895,0.010063492,0.005074645
0.017747646,0.017002496,0.010042974,0.005068089
0.017764096,0.016951835,0.010022477,0.005061553
0.01777964,0.016900929,0.010002,0.005055036
0.017794272,0.016849796,0.009981543,0.005048538
0.017807988,0.016798451,0.009961105,0.005042058
0.017820783,0.016746911,0.009940686,0.005035598
0.017832653,0.016695191,0.009920286,0.005029156
0.017843596,0.016643306,0.009899904,0.005022732
0.017853607,0.016591273,0.00987954,0.005016327
0.017862686,0.016539107,0.009859194,0.005009939
0.01787083,0.016486821,0.009838866,0.005003569
0.017878038,0.016434431,0.009818555,0.004997218
0.017884308,0.01638195,0.009798262,0.004990883
0.01788964,0.016329393,0.009777986,0.004984566
0.017894034,0.016276774,0.009757728,0.004978267
0.017897491,0.016224106,0.009737487,0.004971984
0.017900012,0.016171402,0.009717265,0.004965718
0.017901597,0.016118675,0.00969706,0.004959469
0.017902248,0.016065937,0.009676873,0.004953237
0.017901968,0.016013201,0.009656704,0.004947021
0.01790076,0.01596048,0.009636555,0.004940821
0.017898626,0.015907784,0.009616423,0.004934637
0.01789557,0.015855125,0.009596312,0.00492847
0.017891595,0.015802515,0.009576219,0.004922318
0.017886707,0.015749963,0.009556147,0.004916181
0.01788091,0.015697482,0.009536095,0.004910061
0.017874208,0.015645082,0.009516064,0.004903955
0.017866608,0.015592772,0.009496054,0.004897865
0.017858116,0.015540562,0.009476066,0.00489179
0.017848737,0.015488462,0.0094561,0.004885729
0.017838478,0.015436481,0.009436157,0.004879683
0.017827346,0.015384628,0.009416238,0.004873652
0.017815349,0.015332912,0.009396343,0.004867635
0.017802494,0.015281342,0.009376472,0.004861633
0.017788788,0.015229925,0.009356627,0.004855644
0.017774241,0.015178669,0.009336808,0.004849669
0.017758861,0.015127584,0.009317016,0.004843709
0.017742656,0.015076675,0.009297251,0.004837762
0.017725636,0.015025949,0.009277515,0.004831828
0.01770781,0.014975415,0.009257807,0.004825908
0.017689188,0.014925079,0.009238129,0.004820001
0.01766978,0.014874947,0.009218482,0.004814107
0.017649596,0.014825025,0.009198865,0.004808226
0.017628646,0.01477532,0.009179281,0.004802358
0.017606941,0.014725836,0.00915973,0.004796503
0.017584492,0.014676581,0.009140212,0.00479066
0.017561309,0.014627559,0.009120728,0.00478483
0.017537405,0.014578775,0.00910128,0.004779012
0.017512789,0.014530234,0.009081868,0.004773206
0.017487475,0.014481941,0.009062492,0.004767412
0.017461473,0.0144339,0.009043154,0.00476163
0.017434796,0.014386115,0.009023855,0.00475586
0.017407455,0.014338591,0.009004595,0.004750102
0.017379462,0.014291332,0.008985376,0.004744356
0.017350831,0.01424434,0.008966197,0.004738621
0.017321572,0.01419762,0.008947061,0.004732897
0.017291699,0.014151175,0.008927967,0.004727184
0.017261223,0.014105007,0.008908916,0.004721483
0.017230159,0.014059121,0.00888991,0.004715793
0.017198517,0.014013517,0.00887095,0.004710114
0.017166311,0.0139682,0.008852035,0.004704446
