100nm,200nm,400nm,800nm
0.000695108,0.004503889,0.005223449,0.002972725
0.000716263,0.004546092,0.005214268,0.002969077
0.000737825,0.004587961,0.005205158,0.002965436
0.000759793,0.00462948,0.005196118,0.0029618
0.000782167,0.004670634,0.005187147,0.00295817
0.000804944,0.004711409,0.005178246,0.002954547
0.000828122,0.004751791,0.005169414,0.002950929
0.0008517,0.004791765,0.005160651,0.002947318
0.000875675,0.004831319,0.005151957,0.002943713
0.000900046,0.00487044,0.00514333,0.002940115
0.000924809,0.004909114,0.005134772,0.002936522
0.000949963,0.004947331,0.00512628,0.002932936
0.000975505,0.004985077,0.005117856,0.002929357
0.00100143,0.005022342,0.005109497,0.002925784
0.001027737,0.005059115,0.005101204,0.002922218
0.001054422,0.005095385,0.005092975,0.002918659
0.001081482,0.005131143,0.005084811,0.002915106
0.001108912,0.005166378,0.00507671,0.00291156
0.001136708,0.005201082,0.005068672,0.00290802
0.001164868,0.005235246,0.005060695,0.002904488
0.001193385,0.005268862,0.00505278,0.002900963
0.001222256,0.005301921,0.005044925,0.002897444
0.001251476,0.005334418,0.00503713,0.002893933
0.00128104,0.005366344,0.005029393,0.002890428
0.001310942,0.005397694,0.005021714,0.002886931
0.001341178,0.005428461,0.005014091,0.002883441
0.001371742,0.00545864,0.005006524,0.002879959
0.001402629,0.005488227,0.004999012,0.002876483
0.001433832,0.005517216,0.004991554,0.002873015
0.001465344,0.005545603,0.004984149,0.002869555
0.001497161,0.005573386,0.004976795,0.002866102
0.001529276,0.005600559,0.004969491,0.002862656
0.001561681,0.005627121,0.004962238,0.002859218
0.001594369,0.00565307,0.004955033,0.002855788
0.001627335,0.005678403,0.004947875,0.002852365
0.001660571,0.005703118,0.004940764,0.00284895
0.001694068,0.005727215,0.004933698,0.002845542
0.00172782,0.005750693,0.004926676,0.002842143
0.001761819,0.005773552,0.004919697,0.002838751
0.001796058,0.005795791,0.004912759,0.002835367
0.001830527,0.005817411,0.004905863,0.002831991
0.001865218,0.005838413,0.004899006,0.002828622
0.001900124,0.005858797,0.004892187,0.002825262
0.001935236,0.005878566,0.004885405,0.00282191
0.001970544,0.005897721,0.00487866,0.002818566
0.002006041,0.005916265,0.004871949,0.00281523
0.002041717,0.005934199,0.004865272,0.002811902
0.002077564,0.005951527,0.004858628,0.002808582
0.002113571,0.005968252,0.004852015,0.00280527
0.00214973,0.005984377,0.004845432,0.002801966
0.002186031,0.005999905,0.004838878,0.002798671
0.002222465,0.006014842,0.004832353,0.002795383
0.002259022,0.00602919,0.004825854,0.002792104
0.002295692,0.006042955,0.004819381,0.002788834
0.002332465,0.006056141,0.004812933,0.002785571
0.002369332,0.006068753,0.004806508,0.002782317
0.002406282,0.006080796,0.004800105,0.002779071
0.002443306,0.006092275,0.004793724,0.002775834
0.002480394,0.006103197,0.004787363,0.002772605
0.002517535,0.006113567,0.004781021,0.002769384
0.002554719,0.006123391,0.004774697,0.002766171
0.002591935,0.006132675,0.004768391,0.002762967
0.002629175,0.006141425,0.0047621,0.002759771
0.002666426,0.006149648,0.004755825,0.002756584
0.00270368,0.00615735,0.004749563,0.002753405
0.002740925,0.006164538,0.004743315,0.002750235
0.002778152,0.006171219,0.004737079,0.002747072
0.00281535,0.0061774,0.004730854,0.002743919
0.002852509,0.006183088,0.004724639,0.002740773
0.002889618,0.00618829,0.004718434,0.002737636
0.002926668,0.006193013,0.004712237,0.002734508
0.002963648,0.006197265,0.004706048,0.002731387
0.003000548,0.006201054,0.004699866,0.002728276
0.003037359,0.006204386,0.004693689,0.002725172
0.003074069,0.006207269,0.004687518,0.002722077
0.003110669,0.006209711,0.004681351,0.00271899
0.00314715,0.00621172,0.004675188,0.002715912
0.003183501,0.006213302,0.004669027,0.002712842
0.003219713,0.006214467,0.004662869,0.00270978
0.003255776,0.006215222,0.004656712,0.002706726
0.003291681,0.006215574,0.004650556,0.002703681
0.003327418,0.006215531,0.0046444,0.002700644
0.003362978,0.006215101,0.004638243,0.002697615
0.003398352,0.006214292,0.004632086,0.002694594
0.00343353,0.006213112,0.004625926,0.002691582
0.003468505,0.006211569,0.004619764,0.002688577
0.003503267,0.00620967,0.0046136,0.002685581
0.003537808,0.006207422,0.004607432,0.002682593
0.003572119,0.006204835,0.00460126,0.002679613
0.003606192,0.006201915,0.004595084,0.002676641
